Event_ID,Source,Peak_Time,Peak_Value,Threshold,Flare_Points
S001,SoLEXS,2026-06-15 13:15:26+00:00,95.0,26.89,1746
H001,HEL1OS,2026-06-15 18:50:35.774000+00:00,140.0,6.05,320
